sample_name,SRX,SRR
ATAC-seq_Adherent_rep1,SRX5242671,SRR8435055
ATAC-seq_Adherent_rep1,SRX5242671,SRR8435056
ATAC-seq_Adherent_rep1,SRX5242671,SRR8435057
ATAC-seq_Adherent_rep1,SRX5242671,SRR8435058
ATAC-seq_Adherent_rep2,SRX5242672,SRR8435059
ATAC-seq_Adherent_rep2,SRX5242672,SRR8435060
ATAC-seq_Adherent_rep2,SRX5242672,SRR8435061
ATAC-seq_Adherent_rep2,SRX5242672,SRR8435062
ATAC-seq_Adherent_rep3,SRX5242673,SRR8435063
ATAC-seq_Adherent_rep3,SRX5242673,SRR8435064
ATAC-seq_Adherent_rep3,SRX5242673,SRR8435065
ATAC-seq_Adherent_rep3,SRX5242673,SRR8435066
ATAC-seq_Suspension_rep1,SRX5242674,SRR8435067
ATAC-seq_Suspension_rep1,SRX5242674,SRR8435068
ATAC-seq_Suspension_rep1,SRX5242674,SRR8435069
ATAC-seq_Suspension_rep1,SRX5242674,SRR8435070
ATAC-seq_Suspension_rep2,SRX5242675,SRR8435071
ATAC-seq_Suspension_rep2,SRX5242675,SRR8435072
ATAC-seq_Suspension_rep2,SRX5242675,SRR8435073
ATAC-seq_Suspension_rep2,SRX5242675,SRR8435074
ATAC-seq_Suspension_rep3,SRX5242676,SRR8435075
ATAC-seq_Suspension_rep3,SRX5242676,SRR8435076
ATAC-seq_Suspension_rep3,SRX5242676,SRR8435077
ATAC-seq_Suspension_rep3,SRX5242676,SRR8435078
